mot,theme,qui,quoi,a_qui,par_quoi,quand,ou,pourquoi,comment
autorité,pouvoir,,,,,,,,par capacité de diriger
organisation des contenus,information,,contenu,,par analyse de contenu et curation de données,,,,par une architecture d'information ordonnée
libertinage,individu,liberté sexuelle,à soi,par transgression,,,pour satisfaire ses désirs,par érotisme et frottage,
femmes philosophes,femmes philosophes,connaissance philosophique,elles,,par la pensée critique et la réflexion,,,pour atteindre la sagesse et la clarté intellectuelle,
labyrinthe,espace,chemin,à qui cherche à sortir,par dédale (pas que),quand on se perd,au cœur de la pyramide ou du gouffre,parce qu'on est attiré par le fantasme (intéressant comme idée),par une progression souterraine full of pièges et de tournants,à droite
interculturalité,société,interculturalité,les peuples,par la communication transculturelle,,monde,pour comprendre et respecter les différences,pourquoi pas,
sciences de l’information et de la communication,sciences de la communication,,étude et recherche,,,,,,
mise en forme (édition),éditeur,contenu,,lecteur,,,pour publier,par mise à plat et régime typographique,par technique d'écriture de traduction de publication en ligne
numérique,,numérique,,par informatique,,en ligne,,pour stocker et traiter des données,par logiciel et ordinateur
mise en scène,metteur en scène,spectacle,public,par la production,,scène,pour divertir,par la composition et la mise en relief,
internet,utilisateur,information,en ligne,télécommunication,à tout moment,partout,échanger des informations,par le moyen de réseaux d'information et d'interfaces,
philosophie du numérique,philosophe,,philosophie du numérique,,,,,pour comprendre l'impact du numérique sur la société et l'humanité,par la réflexion critique et la conceptualisation des humanités numériques
extrême droite (science politique),sciences politiques,extrême droite,mouvements socio-politiques,,,historiquement,,pour promouvoir idéologie autoritaire,par adhésion à des idées ou un parti
université,éducation,université,à l'étudiant,par enseignement,,,à l'université,par programme de maîtrise universitaire,pour érudition
hétérodoxie,système de croyance,hétérodoxie,à une communauté,,par une interprétation alternative,,,pour remettre en question l'orthodoxie,par une pensée critique et réflexive
théorie des humanités numériques,études humanistes,,,,,,,,avec méthode interdisciplinaire
philosophie,discipline,pensée,philosophie,par la réflexion,,,,pour comprendre le monde,
belles-lettres,étudiant,chercheurs en sciences humaines,œuvres littéraires,public restreint,reconnaissance institutionnelle,,champ littéraire,obtenir du capital symbolique,esthétique
expérimentations livresques,édition,éditeurs,lecteur,,par la créativité scripturale,époque contemporain,,repousser les frontières du livre,technologies numériques
collectif,groupe,collectif,agentivité artistique,,par rassemblement,,,dépasser l’auctorialité individuelle,en réseau
patrimonialisation,patrimoine,biens ou avantages matériels,,,,,pour conserver et transmettre à la génération suivante,par la fondation et la conservation,
grèves d'usagers,,syndicat,,,pendant conflit de travail,,contre épuisement,,par blocage et mobilisation
ontologie,être,étude de l'être,essence,par la métaphysique,,,,conceptualiser et systématiser,
